# train_acc train_loss test_acc test_loss
1.000000000000000000e+00 1.464984348842075956e+00 1.000000000000000000e+00 1.466148138046264648e+00
1.000000000000000000e+00 1.464827026639665908e+00 1.000000000000000000e+00 1.465933978557586670e+00
1.000000000000000000e+00 1.464677078383309405e+00 1.000000000000000000e+00 1.465730607509613037e+00
1.000000000000000000e+00 1.464533908026558917e+00 1.000000000000000000e+00 1.465537309646606445e+00
1.000000000000000000e+00 1.464397089821951825e+00 1.000000000000000000e+00 1.465353369712829590e+00
1.000000000000000000e+00 1.464266283171517413e+00 1.000000000000000000e+00 1.465178251266479492e+00
1.000000000000000000e+00 1.464141130447387695e+00 1.000000000000000000e+00 1.465011239051818848e+00
1.000000000000000000e+00 1.464021342141287763e+00 1.000000000000000000e+00 1.464851975440979004e+00
1.000000000000000000e+00 1.463906628744942706e+00 1.000000000000000000e+00 1.464699864387512207e+00
1.000000000000000000e+00 1.463796717779976886e+00 1.000000000000000000e+00 1.464554548263549805e+00
1.000000000000000000e+00 1.463691319738115615e+00 1.000000000000000000e+00 1.464415967464447021e+00
1.000000000000000000e+00 1.463590145111083984e+00 1.000000000000000000e+00 1.464283287525177002e+00
1.000000000000000000e+00 1.463493364197867352e+00 1.000000000000000000e+00 1.464156687259674072e+00
1.000000000000000000e+00 1.463400363922119141e+00 1.000000000000000000e+00 1.464035212993621826e+00
1.000000000000000000e+00 1.463311195373535156e+00 1.000000000000000000e+00 1.463918864727020264e+00
1.000000000000000000e+00 1.463225671223231661e+00 1.000000000000000000e+00 1.463807702064514160e+00
1.000000000000000000e+00 1.463143638202122343e+00 1.000000000000000000e+00 1.463701188564300537e+00
1.000000000000000000e+00 1.463064926011221845e+00 1.000000000000000000e+00 1.463599085807800293e+00
1.000000000000000000e+00 1.462989347321646649e+00 1.000000000000000000e+00 1.463501155376434326e+00
1.000000000000000000e+00 1.462916868073599774e+00 1.000000000000000000e+00 1.463407397270202637e+00
1.000000000000000000e+00 1.462847437177385634e+00 1.000000000000000000e+00 1.463317513465881348e+00
1.000000000000000000e+00 1.462780697005135577e+00 1.000000000000000000e+00 1.463231146335601807e+00
1.000000000000000000e+00 1.462716630526951445e+00 1.000000000000000000e+00 1.463148772716522217e+00
1.000000000000000000e+00 1.462655135563441622e+00 1.000000000000000000e+00 1.463069200515747070e+00
1.000000000000000000e+00 1.462596075875418622e+00 1.000000000000000000e+00 1.462993323802947998e+00
1.000000000000000000e+00 1.462539587702069932e+00 1.000000000000000000e+00 1.462920427322387695e+00
1.000000000000000000e+00 1.462485194206237793e+00 1.000000000000000000e+00 1.462850153446197510e+00
1.000000000000000000e+00 1.462433048657008516e+00 1.000000000000000000e+00 1.462782859802246094e+00
1.000000000000000000e+00 1.462382963725498808e+00 1.000000000000000000e+00 1.462718546390533447e+00
1.000000000000000000e+00 1.462334854262215655e+00 1.000000000000000000e+00 1.462656557559967041e+00
1.000000000000000000e+00 1.462288754326956708e+00 1.000000000000000000e+00 1.462596833705902100e+00
1.000000000000000000e+00 1.462244425501142198e+00 1.000000000000000000e+00 1.462539792060852051e+00
1.000000000000000000e+00 1.462201986994062120e+00 1.000000000000000000e+00 1.462484955787658691e+00
1.000000000000000000e+00 1.462161183357238770e+00 1.000000000000000000e+00 1.462432265281677246e+00
1.000000000000000000e+00 1.462121946471077960e+00 1.000000000000000000e+00 1.462381839752197266e+00
1.000000000000000000e+00 1.462084106036594999e+00 1.000000000000000000e+00 1.462333142757415771e+00
1.000000000000000000e+00 1.462047985621861113e+00 1.000000000000000000e+00 1.462286531925201416e+00
1.000000000000000000e+00 1.462013125419616699e+00 1.000000000000000000e+00 1.462241649627685547e+00
1.000000000000000000e+00 1.461979627609252930e+00 1.000000000000000000e+00 1.462198674678802490e+00
1.000000000000000000e+00 1.461947390011378634e+00 1.000000000000000000e+00 1.462157547473907471e+00
1.000000000000000000e+00 1.461916548865181964e+00 1.000000000000000000e+00 1.462117850780487061e+00
1.000000000000000000e+00 1.461886695453098906e+00 1.000000000000000000e+00 1.462079763412475586e+00
1.000000000000000000e+00 1.461858153343200684e+00 1.000000000000000000e+00 1.462043166160583496e+00
1.000000000000000000e+00 1.461830684116908419e+00 1.000000000000000000e+00 1.462007880210876465e+00
1.000000000000000000e+00 1.461804185594831162e+00 1.000000000000000000e+00 1.461974084377288818e+00
1.000000000000000000e+00 1.461778759956359863e+00 1.000000000000000000e+00 1.461941778659820557e+00
1.000000000000000000e+00 1.461754441261291504e+00 1.000000000000000000e+00 1.461910486221313477e+00
1.000000000000000000e+00 1.461731008120945585e+00 1.000000000000000000e+00 1.461880683898925781e+00
1.000000000000000000e+00 1.461708358355930937e+00 1.000000000000000000e+00 1.461852073669433594e+00
1.000000000000000000e+00 1.461686662265232695e+00 1.000000000000000000e+00 1.461824357509613037e+00
1.000000000000000000e+00 1.461665783609662705e+00 1.000000000000000000e+00 1.461797833442687988e+00
1.000000000000000000e+00 1.461645688329424209e+00 1.000000000000000000e+00 1.461772263050079346e+00
1.000000000000000000e+00 1.461626291275024414e+00 1.000000000000000000e+00 1.461747467517852783e+00
1.000000000000000000e+00 1.461607694625854492e+00 1.000000000000000000e+00 1.461723983287811279e+00
1.000000000000000000e+00 1.461589796202523273e+00 1.000000000000000000e+00 1.461701214313507080e+00
1.000000000000000000e+00 1.461572476795741427e+00 1.000000000000000000e+00 1.461679339408874512e+00
1.000000000000000000e+00 1.461555889674595488e+00 1.000000000000000000e+00 1.461658120155334473e+00
1.000000000000000000e+00 1.461539796420506132e+00 1.000000000000000000e+00 1.461638033390045166e+00
1.000000000000000000e+00 1.461524333272661513e+00 1.000000000000000000e+00 1.461618840694427490e+00
1.000000000000000000e+00 1.461509568350655597e+00 1.000000000000000000e+00 1.461600303649902344e+00
1.000000000000000000e+00 1.461495348385402071e+00 1.000000000000000000e+00 1.461582422256469727e+00
1.000000000000000000e+00 1.461481758526393282e+00 1.000000000000000000e+00 1.461565256118774414e+00
1.000000000000000000e+00 1.461468866893223417e+00 1.000000000000000000e+00 1.461549043655395508e+00
1.000000000000000000e+00 1.461456469127110136e+00 1.000000000000000000e+00 1.461533486843109131e+00
1.000000000000000000e+00 1.461444769586835557e+00 1.000000000000000000e+00 1.461518645286560059e+00
1.000000000000000000e+00 1.461433444704328233e+00 1.000000000000000000e+00 1.461503922939300537e+00
1.000000000000000000e+00 1.461422579629080731e+00 1.000000000000000000e+00 1.461490333080291748e+00
1.000000000000000000e+00 1.461412191390991211e+00 1.000000000000000000e+00 1.461477398872375488e+00
1.000000000000000000e+00 1.461402245930262911e+00 1.000000000000000000e+00 1.461464822292327881e+00
1.000000000000000000e+00 1.461392658097403485e+00 1.000000000000000000e+00 1.461452901363372803e+00
1.000000000000000000e+00 1.461383666310991591e+00 1.000000000000000000e+00 1.461441397666931152e+00
1.000000000000000000e+00 1.461374793733869248e+00 1.000000000000000000e+00 1.461430251598358154e+00
1.000000000000000000e+00 1.461366397993905109e+00 1.000000000000000000e+00 1.461419880390167236e+00
1.000000000000000000e+00 1.461358342851911241e+00 1.000000000000000000e+00 1.461409628391265869e+00
1.000000000000000000e+00 1.461350509098597872e+00 1.000000000000000000e+00 1.461399912834167480e+00
1.000000000000000000e+00 1.461343101092747343e+00 1.000000000000000000e+00 1.461390614509582520e+00
1.000000000000000000e+00 1.461335880415780109e+00 1.000000000000000000e+00 1.461381733417510986e+00
1.000000000000000000e+00 1.461328898157392198e+00 1.000000000000000000e+00 1.461373150348663330e+00
1.000000000000000000e+00 1.461322358676365507e+00 1.000000000000000000e+00 1.461364686489105225e+00
1.000000000000000000e+00 1.461316006524222333e+00 1.000000000000000000e+00 1.461356997489929199e+00
1.000000000000000000e+00 1.461309875760759658e+00 1.000000000000000000e+00 1.461349368095397949e+00
1.000000000000000000e+00 1.461303881236485136e+00 1.000000000000000000e+00 1.461342215538024902e+00
1.000000000000000000e+00 1.461298329489571612e+00 1.000000000000000000e+00 1.461334884166717529e+00
1.000000000000000000e+00 1.461292931011744844e+00 1.000000000000000000e+00 1.461328446865081787e+00
1.000000000000000000e+00 1.461287634713309247e+00 1.000000000000000000e+00 1.461321771144866943e+00
1.000000000000000000e+00 1.461282593863350909e+00 1.000000000000000000e+00 1.461315453052520752e+00
